year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2019,166689649,9081992,11,3.3
2019,166689829,9082053,36,3.8
2020,167006242,9082488,89,3.0
2019,166691269,9082502,17,3.9
2016,166692766,9082533,10,3.8
2018,166698289,9084670,870,3.8
2020,166698524,9084762,64,3.6
2019,166699803,9085249,19,3.2
2019,166732381,9085250,34,3.7
2019,166699849,9085266,67,3.6
2017,166700352,9085486,207,3.5
2011,166740876,9085486,12,3.5
2005,166700969,9085734,77,4.2
2019,166701468,9085908,26,3.7
2015,166702012,9086086,117,3.9
2018,166703401,9086538,12,4.3
2016,166704814,9086995,24,4.0
2018,166715962,9090815,33,3.8
2018,166717880,9091479,48,4.5
2019,166659222,9091518,161,3.4
2019,166718295,9091687,67,3.7
2018,166749164,9091687,10,3.5
2016,166744898,9091803,19,3.8
2015,166718657,9091803,333,4.0
2020,166745114,9091874,11,3.6
2017,166718861,9091874,27,3.7
2017,166742314,9091911,12,4.4
2019,166720976,9092630,349,3.7
2019,166722545,9093175,12,3.9
2019,166729282,9095659,23,4.0
2020,166729284,9095660,26,2.7
2019,166729325,9095674,36,3.8
2019,166729630,9095791,14,3.4
2015,166810788,9096061,10,3.4
2019,166731077,9096275,92,4.0
2018,166751102,9096275,37,4.1
2018,166731382,9096376,37,4.1
2018,166956713,9096463,23,4.1
2015,166731801,9096515,199,4.1
2019,167210712,9098277,117,3.6
2018,166737062,9098321,10,4.1
2019,166737198,9098387,31,3.9
2019,166737270,9098416,22,3.7
2018,166737277,9098420,33,3.8
2019,166737344,9098452,38,3.8
2017,166737723,9098623,46,3.7
2018,166739122,9099156,62,3.9
2018,166740018,9099435,12,3.9
2020,166740441,9099574,41,3.6
2019,166745985,9101315,116,3.6
2019,166820315,9101375,15,3.4
2019,166746673,9101473,53,3.5
2018,166746373,9101479,17,3.9
2020,166746385,9101488,10,3.9
2018,167027410,9101596,11,3.9
2020,167507884,9101635,13,3.6
2019,166746693,9101635,103,3.8
2017,166784543,9101656,11,4.0
2019,166693344,9101753,24,3.5
2016,166747003,9101774,15,4.1
2018,166747950,9102122,409,3.9
2017,166789436,9102122,419,4.1
2016,166789299,9102122,104,4.1
2015,166791051,9102122,39,4.2
2014,166794361,9102122,19,4.1
2013,166789555,9102122,19,4.1
2011,166797564,9102122,17,3.9
2010,166789321,9102122,10,4.1
2018,166698570,9102248,31,3.5
2019,166698610,9102264,14,3.9
2018,166748359,9102273,43,3.6
2019,166748513,9102329,13,3.9
2018,166748578,9102354,22,4.1
2019,166818227,9102747,22,4.1
2018,166805809,9103019,21,3.8
2019,166756194,9104733,46,4.0
2018,166756528,9104873,48,4.1
2019,166756787,9104991,15,3.5
2019,166756841,9105014,238,3.6
2018,166790363,9105142,19,3.8
2018,166757316,9105217,17,4.1
2018,166757374,9105243,63,3.8
2018,166757526,9105288,42,4.1
2019,166897090,9105350,12,4.2
2018,166846038,9105350,11,4.0
2017,166767754,9105350,19,4.2
2018,166758143,9105510,17,3.8
2020,166758580,9105657,30,4.0
2016,166758650,9105684,14,3.5
2014,166862316,9105702,56,3.6
2001,166758717,9105702,24,3.1
2018,166759139,9105836,29,3.9
2018,166759827,9106046,22,3.3
2019,166760342,9106211,12,3.5
2018,166848673,9106486,22,3.5
2019,166766683,9108102,17,3.7
2017,166767140,9108246,31,4.0
2018,166768915,9108273,52,3.5
2019,166848285,9108365,15,4.0
2020,166767467,9108377,32,3.6
2018,166767552,9108416,24,3.8
2019,166718966,9108548,12,3.8
2018,166767911,9108572,11,3.8
2014,166767954,9108592,21,4.0
2017,166849740,9108628,11,4.5
2019,166768736,9108894,45,3.7
2019,166768954,9108974,38,3.7
2017,166770274,9109428,15,4.2
2013,166774701,9109428,27,3.8
2019,166770688,9109566,43,3.6
2020,166780677,9112642,19,3.5
2019,166780832,9112702,145,3.6
2020,166780889,9112723,18,3.7
2019,166835414,9112949,41,3.8
2019,166781818,9113116,21,4.2
2019,166782370,9113330,105,3.9
2019,166844663,9113379,11,4.0
2019,166782758,9113468,11,3.0
